"","Height","Mu","Sigma","Lambda","Sex"
"239",47.38,3.57853572393437,0.20840467356644,0.3173601837799,"Male"
"240",47.39,3.57994950401635,0.208409476673436,0.317503387266789,"Male"
"241",47.4,3.58136415343167,0.208414248665471,0.317646620407416,"Male"
"242",47.41,3.5827796729324,0.208418989501714,0.317789883203737,"Male"
"243",47.42,3.58419606327088,0.208423699141317,0.317933175657742,"Male"
"244",47.43,3.58561332520024,0.208428377543418,0.318076497771389,"Male"
"245",47.44,3.58703145947389,0.208433024667139,0.31821984954667,"Male"
"246",47.45,3.58845046684602,0.208437640471585,0.31836323098555,"Male"
"247",47.46,3.58987034807109,0.208442224915847,0.318506642090023,"Male"
"248",47.47,3.59129110390429,0.208446777959,0.318650082862064,"Male"
"249",47.48,3.59271273510131,0.208451299560104,0.318793553303652,"Male"
"250",47.49,3.59413524241825,0.208455789678203,0.318937053416783,"Male"
"251",47.5,3.59555862661183,0.208460248272326,0.319080583203443,"Male"
"252",47.51,3.59698288843938,0.208464675301487,0.319224142665611,"Male"
"253",47.52,3.59840802865865,0.208469070724683,0.319367731805282,"Male"
"254",47.53,3.59983404802797,0.208473434500899,0.319511350624444,"Male"
"255",47.54,3.60126094730608,0.208477766589101,0.319654999125106,"Male"
"256",47.55,3.60268872725245,0.208482066948244,0.319798677309249,"Male"
"257",47.56,3.60411738862699,0.208486335537265,0.319942385178873,"Male"
"258",47.57,3.60554693219012,0.208490572315086,0.320086122735978,"Male"
"259",47.58,3.60697735870281,0.208494777240617,0.320229889982564,"Male"
"260",47.59,3.60840866892661,0.208498950272749,0.320373686920631,"Male"
"261",47.6,3.60984086362351,0.208503091370361,0.320517513552186,"Male"
"262",47.61,3.61127394355607,0.208507200492316,0.320661369879239,"Male"
"263",47.62,3.61270790948752,0.208511277597463,0.320805255903781,"Male"
"264",47.63,3.61414276218137,0.208515322644636,0.320949171627839,"Male"
"265",47.64,3.61557850240186,0.208519335592653,0.321093117053414,"Male"
"266",47.65,3.6170151309137,0.20852331640032,0.32123709218252,"Male"
"267",47.66,3.61845264848216,0.208527265026427,0.321381097017168,"Male"
"268",47.67,3.61989105587296,0.208531181429749,0.32152513155938,"Male"
"269",47.68,3.62133035385247,0.208535065569047,0.321669195811169,"Male"
"270",47.69,3.62277054318755,0.208538917403068,0.321813289774551,"Male"
"271",47.7,3.6242116246455,0.208542736890543,0.32195741345156,"Male"
"272",47.71,3.6256535989944,0.208546523990192,0.322101566844197,"Male"
"273",47.72,3.6270964670026,0.208550278660717,0.322245749954501,"Male"
"274",47.73,3.62854022943917,0.208554000860809,0.322389962784488,"Male"
"275",47.74,3.62998488707357,0.208557690549142,0.322534205336195,"Male"
"276",47.75,3.63143044067587,0.208561347684378,0.322678477611651,"Male"
"277",47.76,3.63287689101674,0.208564972225163,0.322822779612879,"Male"
"278",47.77,3.63432423886728,0.208568564130132,0.322967111341916,"Male"
"279",47.78,3.63577248499923,0.208572123357902,0.323111472800791,"Male"
"280",47.79,3.63722163018478,0.20857564986708,0.32325586399154,"Male"
"281",47.8,3.6386716751966,0.208579143616256,0.323400284916214,"Male"
"282",47.81,3.64012262080811,0.208582604564009,0.323544735576836,"Male"
"283",47.82,3.6415744677931,0.208586032668902,0.323689215975451,"Male"
"284",47.83,3.64302721692597,0.208589427889485,0.323833726114101,"Male"
"285",47.84,3.64448086898152,0.208592790184295,0.32397826599484,"Male"
"286",47.85,3.6459354247353,0.208596119511854,0.324122835619704,"Male"
"287",47.86,3.64739088496333,0.208599415830672,0.324267434990735,"Male"
"288",47.87,3.64884725044202,0.208602679099245,0.324412064109996,"Male"
"289",47.88,3.65030452194849,0.208605909276054,0.324556722979535,"Male"
"290",47.89,3.65176270026037,0.20860910631957,0.324701411601398,"Male"
"291",47.9,3.65322178615583,0.208612270188247,0.324846129977637,"Male"
"292",47.91,3.65468178041348,0.208615400840529,0.324990878110317,"Male"
"293",47.92,3.65614268381259,0.208618498234843,0.325135656001493,"Male"
"294",47.93,3.6576044971329,0.208621562329606,0.325280463653224,"Male"
"295",47.94,3.65906722115474,0.208624593083221,0.325425301067569,"Male"
"296",47.95,3.66053085665896,0.208627590454078,0.325570168246592,"Male"
"297",47.96,3.66199540442694,0.208630554400552,0.325715065192358,"Male"
"298",47.97,3.66346086524063,0.208633484881009,0.32585999190693,"Male"
"299",47.98,3.66492723988246,0.208636381853798,0.32600494839238,"Male"
"300",47.99,3.66639452913547,0.208639245277258,0.326149934650776,"Male"
"301",48,3.6678627337832,0.208642075109714,0.326294950684192,"Male"
"302",48.01,3.66933185460977,0.208644871309478,0.326439996494694,"Male"
"303",48.02,3.67080189239975,0.208647633834849,0.326585072084368,"Male"
"304",48.03,3.67227284793846,0.208650362644116,0.326730177455273,"Male"
"305",48.04,3.67374472201151,0.208653057695552,0.326875312609501,"Male"
"306",48.05,3.67521751540521,0.208655718947419,0.327020477549127,"Male"
"307",48.06,3.67669122890631,0.208658346357966,0.327165672276237,"Male"
"308",48.07,3.67816586330225,0.208660939885431,0.327310896792907,"Male"
"309",48.08,3.67964141938092,0.208663499488039,0.32745615110122,"Male"
"310",48.09,3.68111789793068,0.208666025124,0.327601435203273,"Male"
"311",48.1,3.68259529974055,0.208668516751516,0.327746749101152,"Male"
"312",48.11,3.6840736256001,0.208670974328775,0.327892092796938,"Male"
"313",48.12,3.68555287629942,0.208673397813952,0.328037466292725,"Male"
"314",48.13,3.68703305262902,0.20867578716521,0.328182869590615,"Male"
"315",48.14,3.68851415538017,0.208678142340701,0.328328302692693,"Male"
"316",48.15,3.68999618534445,0.208680463298565,0.328473765601069,"Male"
"317",48.16,3.69147914331426,0.208682749996928,0.328619258317826,"Male"
"318",48.17,3.69296303008234,0.208685002393909,0.328764780845068,"Male"
"319",48.18,3.69444784644203,0.208687220447608,0.328910333184899,"Male"
"320",48.19,3.69593359318719,0.20868940411612,0.329055915339426,"Male"
"321",48.2,3.69742027111229,0.208691553357524,0.32920152731075,"Male"
"322",48.21,3.69890788101224,0.208693668129889,0.329347169100987,"Male"
"323",48.22,3.7003964236827,0.208695748391273,0.329492840712229,"Male"
"324",48.23,3.70188589991964,0.208697794099721,0.329638542146598,"Male"
"325",48.24,3.70337631051972,0.208699805213267,0.329784273406202,"Male"
"326",48.25,3.70486765628013,0.208701781689935,0.329930034493153,"Male"
"327",48.26,3.70635993799855,0.208703723487734,0.330075825409572,"Male"
"328",48.27,3.70785315647319,0.208705630564666,0.330221646157579,"Male"
"329",48.28,3.70934731250299,0.20870750287872,0.33036749673928,"Male"
"330",48.29,3.71084240688716,0.208709340387873,0.330513377156811,"Male"
"331",48.3,3.71233844042575,0.208711143050091,0.33065928741228,"Male"
"332",48.31,3.71383541391915,0.20871291082333,0.330805227507816,"Male"
"333",48.32,3.71533332816835,0.208714643665535,0.330951197445548,"Male"
"334",48.33,3.71683218397487,0.208716341534638,0.331097197227608,"Male"
"335",48.34,3.71833198214087,0.208718004388563,0.331243226856115,"Male"
"336",48.35,3.71983272346901,0.208719632185221,0.331389286333202,"Male"
"337",48.36,3.72133440876245,0.208721224882513,0.331535375661005,"Male"
"338",48.37,3.72283703882497,0.20872278243833,0.331681494841654,"Male"
"339",48.38,3.72434061446081,0.20872430481055,0.331827643877293,"Male"
"340",48.39,3.72584513647488,0.208725791957043,0.331973822770051,"Male"
"341",48.4,3.72735060567254,0.208727243835668,0.332120031522073,"Male"
"342",48.41,3.72885702285979,0.208728660404271,0.332266270135494,"Male"
