"","Height","0.02","0.05","0.25","0.5","0.75","0.95","0.98"
"145",59.4,3.89943344701947,4.27855138852887,5.24695187790163,5.97684782173377,6.7531487152844,7.95113954509818,8.48455547520821
"146",59.5,3.91823950288607,4.29854676334251,5.26960267845637,6.00117783530566,6.77899725445448,7.97885210387879,8.51292887665413
"147",59.6,3.93710176150031,4.31859326191325,5.29228917441059,6.02553024738591,6.80485300735251,8.00654712825826,8.54127342119706
"148",59.7,3.95601890539698,4.33868947963868,5.31500978692258,6.04990338947373,6.8307142449242,8.03422285740668,8.56958735516859
"149",59.8,3.97498959339808,4.35883398966203,5.33776291913421,6.07429557851796,6.85657922734537,8.06187752552683,8.59786892245085
"150",59.9,3.99401246045007,4.37902534274045,5.36054695609607,6.09870511686657,6.88244620398283,8.08950936180826,8.62611636441964
"151",60,4.01308611746385,4.39926206711547,5.38336026469354,6.12313029221607,6.90831341335387,8.11711659037817,8.65432791988366
"152",60.1,4.03220915115739,4.41954266838581,5.4062011935737,6.1475693775605,6.93417908308415,8.14469743024901,8.68250182501992
"153",60.2,4.05138012390189,4.43986562938318,5.42906807307406,6.17202063114128,6.96004142986545,8.17225009526445,8.71063631330675
"154",60.3,4.07059757356987,4.46022941004953,5.45195921515109,6.19648229639556,6.98589865941039,8.19977279404034,8.73872961545115
"155",60.4,4.08986001338719,4.48063244731786,5.47487291331105,6.22095260190587,7.01174896640765,8.22726372990489,8.7667799593148
"156",60.5,4.10916593178762,4.501073154995,5.49780744254131,6.24542976134903,7.03759053447511,8.25472110083494,8.79478556983555
"157",60.6,4.12851379227038,4.52154992364685,5.52076105924258,6.26991197344486,7.06342153611154,8.28214309938927,8.82274466894523
"158",60.7,4.14790203326134,4.54206112048683,5.54373200116302,6.29439742190573,7.08924013264823,8.30952791264039,8.85065547548544
"159",60.8,4.16732906797661,4.56260508926609,5.56671848733242,6.3188842753848,7.11504447419791,8.33687372210183,8.87851620511826
"160",60.9,4.18679328428975,4.58318015016687,5.58971871799815,6.34337068742504,7.14083269960345,8.36417870365394,8.90632507023482
"161",61,4.2062930446023,4.60378459969862,5.61273087456222,6.36785479640832,7.16660293638548,8.39144102746699,8.93408027986072
